Player,Under Pressure Rating,% Break Points Converted,% Break Points Saved,% Tie Breaks Won,% Deciding Sets Won,Surface
Novak Djokovic,248.6,44.40%,65.40%,65.00%,73.80%,All
Pete Sampras,241.9,40.60%,67.90%,64.10%,69.30%,All
Rafael Nadal,240.8,45.00%,66.60%,60.50%,68.70%,All
Roger Federer,239.3,41.20%,67.30%,65.30%,65.50%,All
Attila Balazs,237.2,39.70%,66.80%,53.80%,76.90%,All
Andy Murray,236.6,43.40%,62.40%,61.20%,69.60%,All
Kei Nishikori,235.1,40.90%,61.20%,59.00%,74.00%,All
Thomas Muster,234.3,44.60%,63.00%,58.90%,67.80%,All
Andy Roddick,234,38.80%,67.60%,62.10%,65.50%,All
Guillermo Perez-Roldan,232,46.60%,58.40%,65.90%,61.10%,All
Juan Martin del Potro,231.9,41.80%,63.80%,59.40%,66.90%,All
Renzo Olivo,231.1,37.90%,58.10%,76.00%,59.10%,All
Stefan Edberg,228.5,43.20%,63.80%,60.00%,61.50%,All
Michael Stich,228.3,40.40%,66.10%,60.10%,61.70%,All
Andre Agassi,228.2,43.40%,64.80%,57.50%,62.50%,All
Jo-Wilfried Tsonga,228,39.90%,67.00%,58.60%,62.50%,All
John Fitzgerald,226.1,39.20%,56.30%,75.00%,55.60%,All
German Puentes,225.9,39.80%,53.60%,62.50%,70.00%,All
Boris Becker,225.8,39.90%,65.70%,56.90%,63.30%,All
Yevgeny Kafelnikov,225.6,42.60%,61.10%,56.60%,65.30%,All
Guillermo Coria,224.8,45.70%,58.60%,55.90%,64.60%,All
Milos Raonic,224.4,35.80%,69.50%,61.30%,57.80%,All
Goran Ivanisevic,223.7,39.50%,66.10%,58.80%,59.30%,All
Alberto Mancini,222.8,41.80%,59.70%,62.20%,59.10%,All
Marcelo Rios,222.7,42.20%,60.90%,60.30%,59.30%,All
Patrick Rafter,221.9,39.90%,64.30%,53.60%,64.10%,All
Daniil Medvedev,221.6,40.90%,62.80%,59.10%,58.80%,All
Nick Kyrgios,221.5,39.10%,66.20%,60.20%,56.00%,All
Fernando Gonzalez,221.4,40.20%,63.70%,58.90%,58.60%,All
Lleyton Hewitt,220.8,43.10%,61.80%,51.00%,64.90%,All
Jimmy Arias,220.7,41.90%,57.90%,60.00%,60.90%,All
Carlos Moya,220.6,40.40%,62.80%,57.10%,60.30%,All
Nicolas Kiefer,220.5,42.50%,60.40%,57.80%,59.80%,All
Tommy Haas,220.4,40.10%,62.20%,56.30%,61.80%,All
Juan Carlos Ferrero,220,40.10%,62.50%,56.00%,61.40%,All
Jim Courier,219.8,42.40%,63.50%,58.00%,55.90%,All
Cristian Garin,219.8,40.40%,60.50%,51.20%,67.70%,All
John Isner,219.7,30.50%,70.80%,61.10%,57.30%,All
Alexander Zverev,219.7,41.50%,60.60%,59.00%,58.60%,All
Tommy Robredo,219.2,41.30%,60.70%,55.80%,61.40%,All
David Nalbandian,219.2,44.20%,59.30%,60.20%,55.50%,All
Felix Auger-Aliassime,218.6,39.50%,63.70%,66.70%,48.70%,All
Brad Gilbert,218.5,43.30%,60.70%,57.00%,57.50%,All
John McEnroe,218.5,42.00%,62.40%,47.40%,66.70%,All
Andrey Rublev,218.4,40.20%,62.10%,50.90%,65.20%,All
David Ferrer,218.3,43.60%,60.00%,51.30%,63.40%,All
Michael Chang,218.1,44.00%,60.50%,50.20%,63.40%,All
Dominic Thiem,218,39.20%,63.00%,52.80%,63.00%,All
Lucas Pouille,217.8,38.80%,63.30%,54.30%,61.40%,All
Miomir Kecmanovic,217.3,40.80%,63.00%,48.80%,64.70%,All
Karel Novacek,216.9,39.80%,62.10%,56.30%,58.70%,All
Jaime Yzaga,216.4,42.90%,58.30%,59.80%,55.40%,All
Alexander Bublik,216,36.90%,60.00%,52.40%,66.70%,All
Stefanos Tsitsipas,216,39.00%,63.40%,58.30%,55.30%,All
Gael Monfils,215.9,41.20%,61.40%,56.50%,56.80%,All
Corentin Moutet,215.9,40.50%,55.00%,59.30%,61.10%,All
Dominik Koepfer,215.8,38.80%,60.30%,66.70%,50.00%,All
Sergi Bruguera,215.4,45.00%,59.20%,58.70%,52.50%,All
Todd Martin,215.2,40.20%,64.30%,57.40%,53.30%,All
Greg Rusedski,215.2,36.80%,66.20%,56.50%,55.70%,All
Wayne Ferreira,215.1,40.30%,60.90%,50.00%,63.90%,All
Fabio Fognini,215.1,43.10%,57.00%,56.00%,59.00%,All
