Player,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Aces Per Match,Avg Double Faults/Match,Surface
John Isner,311.7,69.20%,78.60%,56.10%,91.80%,18.3,2.3,All
Ivo Karlovic,309.8,65.50%,82.70%,53.30%,92.00%,19.8,3.5,All
Reilly Opelka,303.9,62.80%,79.80%,54.80%,90.40%,19.5,3.4,All
Milos Raonic,302.9,62.90%,81.50%,55.10%,91.20%,15.5,3.3,All
Andy Roddick,299.9,64.80%,79.30%,56.00%,90.10%,11.7,2,All
Nick Kyrgios,295.2,65.50%,77.30%,52.90%,88.10%,15,3.6,All
Joachim Johansson,293.4,62.10%,79.20%,52.80%,89.30%,14.3,4.3,All
Roger Federer,290.9,62.10%,77.30%,56.80%,88.80%,7.8,1.9,All
Kevin Anderson,290.8,64.60%,76.90%,53.00%,86.60%,12.7,3,All
Wayne Arthurs,290.4,55.70%,81.20%,54.70%,88.20%,15.8,5.2,All
Pete Sampras,289,59.50%,80.90%,52.60%,88.70%,11,3.7,All
Chris Guccione,287.7,60.00%,78.50%,51.50%,86.40%,14.6,3.3,All
Jo-Wilfried Tsonga,287.2,62.10%,77.70%,52.90%,87.00%,9.9,2.4,All
Richard Krajicek,286.9,58.20%,81.40%,51.10%,87.20%,12.6,3.6,All
Matteo Berrettini,286.1,61.80%,77.70%,53.50%,86.50%,8.7,2.1,All
Rafael Nadal,285.3,68.30%,72.10%,57.50%,85.90%,3.1,1.6,All
Wesley Moodie,285.2,68.90%,73.50%,51.30%,83.80%,10.8,3.1,All
Sam Groth,284.4,60.50%,78.30%,50.70%,84.50%,15.4,5,All
Gilles Muller,284.3,61.40%,78.00%,50.20%,84.90%,13.4,3.6,All
Greg Rusedski,283.2,58.00%,79.80%,52.30%,86.50%,11.2,4.6,All
Novak Djokovic,283,64.90%,73.60%,55.50%,85.80%,5.5,2.3,All
Ivan Ljubicic,282.5,58.40%,77.50%,51.80%,85.30%,12,2.5,All
Sam Querrey,282.5,59.20%,78.80%,50.40%,84.80%,12.7,3.4,All
Goran Ivanisevic,282.2,54.90%,82.50%,50.10%,85.70%,13.9,4.9,All
Stefanos Tsitsipas,282.2,61.80%,75.90%,54.20%,85.60%,7,2.3,All
Mark Philippoussis,281.7,57.90%,79.90%,49.90%,85.30%,13.9,5.2,All
Juan Martin del Potro,281.6,63.80%,74.50%,53.20%,84.90%,7.5,2.3,All
Mario Ancic,279.1,61.30%,75.50%,51.90%,83.80%,9.3,2.7,All
Max Mirnyi,278.9,62.50%,75.80%,51.10%,83.80%,9.4,3.7,All
Boris Becker,278.4,57.40%,79.40%,50.20%,85.80%,10.4,4.8,All
Guy Forget,278.3,58.10%,77.80%,51.70%,84.00%,9,2.3,All
Todd Martin,278.1,61.60%,75.60%,51.10%,83.60%,9.5,3.3,All
Robin Soderling,277.8,61.10%,75.70%,51.70%,83.90%,8.4,3,All
Daniel Brands,277.4,65.90%,72.70%,51.20%,81.80%,8.8,3,All
Feliciano Lopez,277.4,58.60%,76.20%,51.60%,83.90%,10.5,3.4,All
Patrick Rafter,277.4,61.90%,75.60%,51.70%,84.70%,7.1,3.6,All
Tomas Berdych,276.9,58.00%,76.90%,52.40%,84.40%,7.7,2.5,All
Ugo Humbert,276.6,61.10%,75.00%,52.30%,83.30%,7.9,3,All
Michael Stich,276.5,56.60%,77.80%,52.50%,85.30%,8.3,4,All
Jim Courier,276.3,62.10%,74.20%,53.30%,84.10%,5.2,2.6,All
Juan Balcells,275.8,71.40%,68.10%,52.80%,80.30%,5.3,2.1,All
Andre Agassi,275.8,62.60%,72.90%,54.00%,84.00%,4.8,2.5,All
Marin Cilic,275.7,56.60%,76.70%,52.50%,83.80%,9.1,3,All
Steve Johnson,275.7,59.30%,74.90%,52.30%,84.00%,8.2,3,All
Martin Verkerk,275.5,59.50%,75.80%,50.20%,82.50%,12.4,4.9,All
Nicolas Jarry,275.1,63.00%,72.10%,52.30%,81.60%,9.3,3.2,All
Karen Khachanov,274.8,61.50%,74.00%,51.60%,82.50%,8.1,2.9,All
Egor Gerasimov,274.3,64.80%,72.60%,50.50%,81.10%,8.6,3.3,All
Lorenzo Sonego,274.3,63.50%,73.20%,51.20%,82.00%,6.4,2,All
Nicolas Almagro,274,58.10%,74.80%,52.80%,82.50%,8.3,2.5,All
Grigor Dimitrov,273.8,62.20%,74.40%,51.20%,82.50%,7,3.5,All
Bernard Tomic,273.8,66.30%,71.00%,49.80%,80.60%,7.9,1.8,All
Marius Copil,273.7,57.40%,75.20%,51.60%,81.50%,11.1,3.1,All
Dominic Thiem,273.6,60.30%,74.10%,53.10%,83.00%,5.9,2.8,All
Peter Wessels,273.6,62.50%,74.20%,50.10%,81.10%,9,3.3,All
Felix Auger-Aliassime,273.5,64.00%,74.10%,49.90%,81.30%,8.5,4.3,All
Daniil Medvedev,273.4,59.70%,74.70%,51.90%,82.50%,8,3.4,All
Magnus Larsson,273.3,63.50%,72.90%,51.10%,81.70%,6.6,2.5,All
Alexei Popyrin,273.1,60.80%,74.00%,51.50%,81.50%,9.5,4.2,All
Vasek Pospisil,273.1,58.00%,75.90%,50.50%,82.80%,9.5,3.6,All
Richard Gasquet,273,61.70%,73.10%,53.20%,82.00%,5.4,2.4,All
Takao Suzuki,273,63.60%,71.40%,52.30%,79.70%,8.6,2.6,All
Denis Shapovalov,273,58.60%,75.90%,51.80%,83.50%,8.3,5.1,All
Stan Wawrinka,273,58.00%,73.70%,53.80%,82.80%,7.3,2.6,All
Alexander Zverev,272.8,64.10%,74.00%,49.30%,81.40%,8.3,4.3,All
Lloyd Harris,272.6,64.50%,74.20%,46.90%,79.40%,10.2,2.6,All
Wally Masur,272.6,66.20%,70.30%,52.70%,80.70%,4.9,2.2,All
Shuzo Matsuoka,272.6,61.20%,74.10%,50.70%,81.70%,7.7,2.8,All
Michael Llodra,272.5,62.20%,73.50%,51.10%,81.20%,7.8,3.3,All
Jiri Vesely,272.5,64.40%,72.10%,51.00%,80.90%,7.7,3.6,All
Fernando Gonzalez,272.4,60.90%,74.30%,51.40%,82.90%,7,4.1,All
Jerzy Janowicz,272.4,62.00%,74.70%,49.30%,82.00%,9.6,5.2,All
Taylor Fritz,272.4,58.60%,74.90%,50.50%,81.60%,9.3,2.5,All
Jonathan Stark,272.3,59.40%,76.20%,49.20%,82.00%,9.1,3.6,All
Casper Ruud,272.1,65.80%,70.40%,52.70%,81.20%,4.5,2.5,All
Alexander Waske,272.1,60.60%,73.40%,50.80%,81.30%,10.5,4.5,All
Kenny De Schepper,272,66.80%,71.60%,48.50%,81.20%,8.2,4.3,All
Mardy Fish,271.9,53.80%,77.10%,51.70%,82.30%,9.9,2.9,All
Hubert Hurkacz,271.9,63.20%,72.60%,50.30%,81.10%,7.7,3,All
Borna Coric,271.7,62.20%,72.00%,52.90%,80.90%,6,2.3,All
Denis Istomin,271.6,65.30%,71.00%,51.00%,79.60%,6.5,1.8,All
Philipp Kohlschreiber,271.5,60.30%,72.20%,53.90%,81.60%,5.6,2.1,All
Victor Hanescu,271.3,69.10%,69.20%,50.70%,79.10%,4.8,1.6,All
Marat Safin,271.3,55.30%,75.20%,52.20%,82.20%,8.8,2.4,All
Javier Frana,271.2,61.60%,73.00%,51.30%,80.80%,6.3,1.8,All
Fernando Verdasco,271.2,67.20%,70.90%,51.00%,80.50%,5.5,3.9,All
Roberto Bautista Agut,271.1,66.00%,69.80%,53.80%,80.20%,3.2,1.9,All
Gustavo Kuerten,271,54.70%,76.20%,51.60%,82.50%,8.5,2.5,All
Leonardo Mayer,271,60.90%,73.30%,52.40%,81.70%,6.3,3.6,All
Alex Radulescu,271,56.40%,77.00%,49.20%,81.60%,10.4,3.6,All
Markus Zoecke,271,64.10%,72.20%,49.70%,80.30%,7.5,2.8,All
Ivan Lendl,270.8,56.00%,76.00%,52.20%,82.40%,6.9,2.7,All
Gael Monfils,270.6,62.50%,72.80%,50.00%,80.70%,8.2,3.6,All
Andy Murray,270.5,58.10%,74.40%,51.90%,81.80%,6.8,2.5,All
Ernests Gulbis,270.4,60.20%,75.20%,48.50%,81.30%,9.4,4.2,All
Simone Bolelli,270,66.40%,69.00%,52.90%,79.10%,4.1,1.5,All
Pierre-Hugues Herbert,269.8,59.10%,73.80%,50.90%,81.20%,8.7,3.9,All
Nicolas Mahut,269.8,60.80%,73.30%,50.40%,81.00%,7.8,3.5,All
Amer Delic,269.7,59.70%,72.30%,50.40%,80.10%,10.3,3.1,All
Jan-Michael Gambill,269.7,55.80%,76.30%,49.10%,81.10%,10.8,3.4,All
Maximilian Marterer,269.7,63.40%,69.50%,53.50%,79.10%,6.2,2,All
Radek Stepanek,269.6,62.00%,72.80%,50.80%,80.80%,6.3,3.1,All
Thiago Monteiro,269.5,65.10%,71.10%,51.60%,79.30%,4.8,2.4,All
Tennys Sandgren,269.5,61.10%,73.50%,48.80%,79.90%,8.9,2.7,All
Jack Sock,269.5,58.50%,73.80%,52.80%,82.20%,6.6,4.4,All
Kenneth Carlsen,269.3,58.20%,74.90%,50.20%,81.40%,7.9,3.3,All
Thanasi Kokkinakis,269.3,59.20%,74.70%,48.80%,81.00%,9.7,4.1,All
Kyle Edmund,269.2,59.80%,72.90%,52.00%,81.20%,5.9,2.6,All
Tommy Haas,269.2,58.40%,74.20%,52.00%,81.60%,6.9,3.9,All
Younes El Aynaoui,269.2,61.80%,72.60%,50.10%,80.80%,7,3.1,All
Juan Carlos Ferrero,268.9,64.00%,69.20%,54.20%,79.70%,4.1,2.3,All
Bob Bryan,268.8,62.00%,72.30%,50.90%,78.80%,7.2,2.4,All
Jeremy Chardy,268.6,60.20%,74.20%,49.50%,80.80%,8.1,4.2,All
Stefan Edberg,268.5,61.50%,73.10%,51.80%,82.60%,3.2,3.7,All
Marc Rosset,268.5,56.40%,78.50%,47.40%,82.00%,9.5,5.3,All
