Player,Career Index,Career Titles,Career Win/Loss,Surface
Rafael Nadal,0.831,86,1008-205,All
Novak Djokovic,0.831,82,943-192,All
Bjorn Borg,0.824,66,654-140,All
Roger Federer,0.82,103,1243-272,All
Jimmy Connors,0.818,109,1274-283,All
John McEnroe,0.817,77,883-198,All
Ivan Lendl,0.815,94,1068-242,All
Rod Laver,0.798,59,576-146,All
Pete Sampras,0.774,64,762-222,All
Andy Murray,0.77,46,677-202,All
Boris Becker,0.769,49,713-214,All
Guillermo Vilas,0.762,62,951-297,All
Andre Agassi,0.76,60,870-274,All
Arthur Ashe,0.754,37,793-259,All
Stefan Edberg,0.748,41,801-270,All
Kent Carlsson,0.748,9,160-54,All
Andy Roddick,0.742,32,612-213,All
Ken Rosewall,0.739,35,545-192,All
Ilie Nastase,0.731,64,905-333,All
Mats Wilander,0.72,33,571-222,All
Stan Smith,0.719,45,779-305,All
Juan Martin del Potro,0.717,22,439-173,All
John Newcombe,0.714,33,568-227,All
Jose-Luis Clerc,0.713,25,378-152,All
Manuel Orantes,0.712,34,722-292,All
Tom Okker,0.709,30,664-273,All
Lleyton Hewitt,0.702,30,616-262,All
Vitas Gerulaitis,0.698,26,535-232,All
Thomas Muster,0.696,44,625-273,All
Eddie Dibbs,0.696,22,604-264,All
Yannick Noah,0.696,23,478-209,All
Alex Metreveli,0.691,9,226-101,All
Michael Stich,0.686,18,385-176,All
Cliff Richey,0.683,19,477-221,All
Clark Graebner,0.683,9,329-153,All
Miloslav Mecir Sr.,0.682,11,262-122,All
Jim Courier,0.681,23,506-237,All
Milos Raonic,0.681,8,370-173,All
Brian Gottfried,0.68,25,702-330,All
Michael Chang,0.68,34,662-312,All
Jo-Wilfried Tsonga,0.673,18,465-226,All
Raul Ramirez,0.672,19,546-267,All
Kei Nishikori,0.672,12,410-200,All
Marcelo Rios,0.671,18,391-192,All
Gene Mayer,0.669,14,321-159,All
Alexander Zverev,0.668,14,260-129,All
Yevgeny Kafelnikov,0.666,26,609-306,All
Roscoe Tanner,0.666,15,592-297,All
David Nalbandian,0.666,11,383-192,All
Tony Roche,0.664,16,364-184,All
Daniil Medvedev,0.663,10,173-88,All
David Ferrer,0.661,27,734-377,All
Andres Gomez,0.66,21,531-273,All
Andres Gimeno,0.659,9,247-128,All
