last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Lynn, Lance,458681,TEX,FF,4-Seamer,-0.8,-6,702,49.9,167,0.211,0.414,0.311,29.3,27.5,21.6,0.21,0.393,0.291,35.5
Senzatela, Antonio,622608,COL,FF,4-Seamer,0,0,635,55.9,165,0.313,0.46,0.374,11.5,9.1,10.3,0.31,0.46,0.365,45.9
Cole, Gerrit,543037,NYY,FF,4-Seamer,-0.7,-4,635,52.8,157,0.226,0.466,0.319,25.9,22.3,19.9,0.225,0.47,0.318,47.7
Valdez, Framber,664285,HOU,SIFT,Sinker,-0.7,-4,575,54.8,152,0.326,0.42,0.359,12.5,8.6,14.8,0.304,0.485,0.375,55.5
Giolito, Lucas,608337,CWS,FF,4-Seamer,-0.9,-5,614,50.6,152,0.201,0.306,0.263,29,31.6,22.5,0.221,0.361,0.29,46.1
Cease, Dylan,656302,CWS,FF,4-Seamer,1.5,8,519,47.8,151,0.254,0.5,0.391,17.2,13.9,13.9,0.306,0.535,0.422,42.2
Heaney, Andrew,571760,LAA,FF,4-Seamer,-0.3,-2,627,57.8,149,0.267,0.481,0.361,24.8,24.2,18.5,0.255,0.487,0.35,44.3
Glasnow, Tyler,607192,TB,FF,4-Seamer,-0.9,-5,584,60.6,145,0.246,0.46,0.353,23.9,22.8,24.3,0.239,0.465,0.343,46.8
Davies, Zach,605200,SD,CH,Changeup,-2.9,-12,436,41.3,142,0.176,0.331,0.232,35.9,28.9,27.2,0.254,0.438,0.308,29.2
Singer, Brady,663903,KC,SIFT,Sinker,-1,-6,612,57.1,141,0.23,0.311,0.294,18.3,25.5,21.1,0.224,0.344,0.299,40.2
Ray, Robbie,592662,TOR,FF,4-Seamer,2.8,14,503,47.3,140,0.292,0.689,0.478,19.4,17.9,17.5,0.283,0.595,0.446,50.6
Lamet, Dinelson,659275,SD,SL,Slider,-3.1,-17,559,53.4,138,0.08,0.12,0.149,47.2,51.4,33.5,0.096,0.161,0.17,27.8
Javier, Cristian,664299,HOU,FF,4-Seamer,-1,-6,560,63,136,0.208,0.442,0.318,19.5,19.1,17.8,0.21,0.405,0.309,36.8
Gausman, Kevin,592332,SF,FF,4-Seamer,-0.6,-3,498,51.1,132,0.28,0.458,0.365,24.5,24.2,23.5,0.291,0.497,0.372,44.8
