Player,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted,Surface
Guillermo Coria,171.5,36.10%,54.40%,35.30%,45.70%,All
Guillermo Perez-Roldan,168.1,35.80%,53.20%,32.50%,46.60%,All
Rafael Nadal,168.1,34.20%,55.30%,33.60%,45.00%,All
Alberto Berasategui,166.6,33.60%,56.20%,32.40%,44.40%,All
Franco Davin,166.3,34.80%,53.20%,32.80%,45.50%,All
Novak Djokovic,165.1,33.60%,55.10%,32.00%,44.40%,All
Bart Wuyts,165,34.40%,54.30%,32.80%,43.50%,All
Diego Schwartzman,164.5,33.20%,55.30%,32.10%,43.90%,All
Jordi Arrese,163.4,33.80%,54.20%,31.60%,43.80%,All
Thomas Muster,163.4,32.00%,55.20%,31.60%,44.60%,All
Andy Murray,163.2,33.30%,55.00%,31.50%,43.40%,All
Michael Chang,163.1,32.30%,55.20%,31.60%,44.00%,All
David Ferrer,163,33.50%,54.50%,31.40%,43.60%,All
Sergi Bruguera,162.7,32.50%,53.80%,31.40%,45.00%,All
Andre Agassi,162.4,31.50%,55.80%,31.70%,43.40%,All
Carlos Costa,161.9,32.30%,54.90%,31.10%,43.60%,All
Horacio de la Pena,161.6,33.70%,52.60%,30.20%,45.10%,All
Goran Prpic,161.3,33.70%,53.10%,30.90%,43.60%,All
Slava Dosedel,161.2,33.70%,53.90%,30.70%,42.90%,All
Eduardo Masso,161.1,33.60%,53.00%,29.30%,45.20%,All
David Nalbandian,161.1,32.20%,54.60%,30.10%,44.20%,All
Gilbert Schaller,161.1,33.00%,54.00%,31.20%,42.90%,All
Andrei Chesnokov,160.8,32.90%,52.70%,30.90%,44.30%,All
Tomas Carbonell,160.4,33.60%,52.70%,30.10%,44.00%,All
Nikolay Davydenko,160.1,33.20%,53.30%,29.90%,43.70%,All
Filippo Volandri,160.1,33.30%,52.10%,30.50%,44.20%,All
Stefan Edberg,160,33.10%,53.40%,30.30%,43.20%,All
